pmt_ref,order_id,method,amount_reported,paid_at,merchant_id
PMT-000277,O000299,wallet,600.0,2025-11-29 21:29:33,M0333
PMT-001146,O001232,card,100.0,2026-05-20 08:38:10,M0333
PMT-001420,O001528,card,800.0,2025-08-11 09:59:44,M0333
PMT-002333,O002531,wallet,900.0,2026-01-22 16:18:57,M0333
PMT-002466,O002671,wallet,200.0,2026-06-01 23:03:05,M0333
PMT-002607,O002824,bnpl,100.0,2026-03-01 17:06:53,M0333
PMT-002700,O002927,card,500.0,2026-02-20 19:46:00,M0333
PMT-003953,O004308,card,700.0,2026-06-04 16:08:40,M0333
PMT-005516,O006009,card,600.0,2026-05-14 08:38:08,M0333
PMT-006697,O007283,wallet,900.0,2026-06-21 17:26:11,M0333
PMT-007044,O007672,bank_transfer,300.0,2026-02-26 18:00:08,M0333
PMT-007263,O007904,bank_transfer,500.0,2025-08-09 12:15:53,M0333
PMT-007600,O008265,bnpl,800.0,2025-12-30 18:52:38,M0333
PMT-008498,O009232,cod,100.0,2026-01-14 22:27:10,M0333
PMT-008644,O009389,bank_transfer,900.0,2026-05-05 15:43:03,M0333
PMT-010388,O011300,cod,200.0,2025-11-20 20:40:04,M0333
PMT-011318,O012299,bnpl,700.0,2026-05-01 14:25:29,M0333
PMT-011680,O012700,card,900.0,2025-10-11 20:11:36,M0333
PMT-011745,O012767,bnpl,200.0,2026-04-22 19:54:52,M0333
PMT-012445,O013533,card,900.0,2025-09-06 20:35:56,M0333
PMT-012686,O013787,card,100.0,2025-11-10 17:17:41,M0333
PMT-013016,O014147,wallet,600.0,2026-05-08 21:59:45,M0333
PMT-013167,O014306,cod,700.0,2026-04-27 22:27:57,M0333
PMT-013375,O014530,card,200.0,2026-02-10 13:57:20,M0333
PMT-013441,O014601,card,900.0,2025-11-23 12:20:07,M0333
PMT-013817,O015003,bnpl,900.0,2026-04-11 15:36:59,M0333
PMT-014270,O015508,wallet,200.0,2025-09-20 21:10:52,M0333
PMT-014307,O015547,card,100.0,2026-03-15 16:26:18,M0333
PMT-014877,O016168,bnpl,800.0,2025-09-05 13:00:10,M0333
PMT-015293,O016612,wallet,700.0,2025-11-04 22:24:10,M0333
PMT-016593,O018019,wallet,600.0,2026-04-23 10:14:04,M0333
