table,row_id,action,reason
transactions,T0000186,quarantined,customer C800303 has no master record
transactions,T0000312,quarantined,customer C800247 has no master record
transactions,T0000515,quarantined,customer C800330 has no master record
transactions,T0000576,quarantined,customer C800436 has no master record
transactions,T0000577,quarantined,customer C800436 has no master record
transactions,T0000578,quarantined,customer C800436 has no master record
transactions,T0000827,quarantined,customer C800149 has no master record
transactions,T0000828,quarantined,customer C800149 has no master record
transactions,T0001183,quarantined,customer C800269 has no master record
transactions,T0001184,quarantined,customer C800269 has no master record
transactions,T0001185,quarantined,customer C800269 has no master record
transactions,T0001186,quarantined,customer C800269 has no master record
transactions,T0001464,quarantined,customer C800056 has no master record
transactions,T0001465,quarantined,customer C800056 has no master record
transactions,T0001466,quarantined,customer C800056 has no master record
transactions,T0001548,quarantined,customer C800312 has no master record
transactions,T0001549,quarantined,customer C800312 has no master record
transactions,T0001550,quarantined,customer C800312 has no master record
transactions,T0001551,quarantined,customer C800312 has no master record
transactions,T0002117,quarantined,customer C800292 has no master record
transactions,T0002206,quarantined,customer C800230 has no master record
transactions,T0002393,quarantined,customer C800138 has no master record
transactions,T0002394,quarantined,customer C800138 has no master record
transactions,T0002395,quarantined,customer C800138 has no master record
transactions,T0002396,quarantined,customer C800138 has no master record
transactions,T0002521,quarantined,customer C800207 has no master record
transactions,T0002522,quarantined,customer C800207 has no master record
transactions,T0002523,quarantined,customer C800207 has no master record
transactions,T0002562,quarantined,customer C800062 has no master record
transactions,T0002563,quarantined,customer C800062 has no master record
transactions,T0002564,quarantined,customer C800062 has no master record
transactions,T0003010,quarantined,customer C800365 has no master record
transactions,T0003011,quarantined,customer C800365 has no master record
transactions,T0003012,quarantined,customer C800365 has no master record
transactions,T0003071,quarantined,customer C800014 has no master record
transactions,T0003095,quarantined,customer C800358 has no master record
transactions,T0003096,quarantined,customer C800358 has no master record
transactions,T0003097,quarantined,customer C800358 has no master record
transactions,T0003098,quarantined,customer C800358 has no master record
transactions,T0003556,quarantined,customer C800118 has no master record
transactions,T0003557,quarantined,customer C800118 has no master record
transactions,T0003560,quarantined,customer C800019 has no master record
transactions,T0003561,quarantined,customer C800019 has no master record
transactions,T0003597,quarantined,customer C800016 has no master record
transactions,T0003912,quarantined,customer C800020 has no master record
transactions,T0003913,quarantined,customer C800020 has no master record
transactions,T0003914,quarantined,customer C800020 has no master record
transactions,T0003915,quarantined,customer C800020 has no master record
transactions,T0003916,quarantined,customer C800020 has no master record
transactions,T0003917,quarantined,customer C800020 has no master record
