customer_id,signup_date,channel_id,region
C000001,2023-11-19 00:45:59,paid_search,MY
C000002,2024-02-18 12:12:19,paid_search,SG
C000003,2023-11-16 10:37:56,affiliate,PH
C000004,2024-08-15 18:33:21,social,PH
C000005,2023-06-02 16:23:31,social,TH
C000006,2024-12-11 02:44:17,affiliate,MY
C000007,2023-11-21 01:53:37,organic,SG
C000008,2024-01-27 21:06:17,paid_search,MY
C000009,2024-04-03 16:34:46,email,TH
C000010,2025-06-11 05:31:00,email,SG
C000011,2024-07-15 06:00:57,affiliate,SG
C000012,2025-05-19 04:55:50,social,VN
C000013,2024-04-04 04:18:29,paid_search,ID
C000014,2023-10-21 00:22:15,paid_search,ID
C000015,2024-03-17 18:27:41,organic,PH
C000016,2023-08-19 15:41:16,affiliate,ID
C000017,2024-08-10 06:01:53,organic,MY
C000018,2024-09-28 11:23:17,social,VN
C000019,2024-05-23 16:38:33,paid_search,PH
C000020,2024-12-06 18:45:24,organic,SG
C000021,2023-07-10 07:33:59,paid_search,MY
C000022,2023-07-03 05:51:02,social,MY
C000023,2024-06-21 03:18:41,organic,SG
C000024,2023-07-18 16:40:30,affiliate,SG
C000025,2025-06-07 23:54:33,affiliate,SG
C000026,2025-02-11 16:41:11,organic,ID
C000027,2024-10-19 06:46:58,referral,SG
C000028,2024-07-16 20:54:49,paid_search,VN
C000029,2024-12-04 10:22:33,organic,ID
C000030,2024-03-27 00:42:22,paid_search,MY
C000031,2023-07-17 18:37:43,referral,TH
C000032,2024-05-16 09:20:06,social,ID
C000033,2024-05-22 15:16:12,organic,TH
C000034,2025-05-08 02:12:41,email,VN
C000035,2024-10-21 17:17:33,email,TH
C000036,2023-07-05 11:15:11,email,TH
C000037,2023-07-02 08:46:29,social,TH
C000038,2025-03-29 03:42:25,referral,MY
C000039,2025-06-13 16:55:02,social,ID
C000040,2023-06-14 01:59:17,organic,ID
C000041,2025-01-25 04:10:55,referral,PH
C000042,2024-01-30 21:46:24,paid_search,ID
C000043,2023-06-17 17:46:34,email,SG
C000044,2023-07-23 09:43:12,social,MY
C000045,2024-02-21 09:55:22,paid_search,MY
C000046,2024-07-27 00:33:36,organic,MY
C000047,2023-08-04 17:09:54,email,ID
C000048,2023-10-14 17:41:18,referral,PH
C000049,2023-06-07 15:23:54,referral,SG
C000050,2024-03-25 12:54:04,social,PH
C000051,2023-03-06 05:35:20,organic,TH
C000052,2023-08-08 05:35:06,paid_search,SG
C000053,2025-05-04 22:01:44,email,SG
C000054,2024-10-09 11:55:25,paid_search,VN
C000055,2023-07-12 16:31:47,email,TH
C000056,2025-03-18 12:40:46,paid_search,SG
C000057,2023-10-02 02:39:05,organic,ID
C000058,2024-08-28 11:31:34,social,SG
C000059,2024-12-26 16:14:50,social,ID
C000060,2024-03-02 01:55:40,social,SG
C000061,2023-03-15 11:13:52,organic,MY
C000062,2023-04-15 02:31:48,referral,MY
C000063,2024-07-02 05:14:22,paid_search,ID
C000064,2025-06-27 16:11:55,email,SG
C000065,2023-04-24 03:36:46,social,TH
C000066,2023-04-15 11:14:28,paid_search,TH
C000067,2024-01-03 09:32:39,social,ID
C000068,2023-12-13 06:59:23,social,VN
C000069,2024-03-13 22:14:40,social,TH
C000070,2025-06-19 18:03:11,social,SG
C000071,2025-02-07 10:16:59,organic,SG
C000072,2025-02-21 22:54:00,affiliate,ID
C000073,2023-03-31 02:31:24,paid_search,TH
C000074,2025-05-17 03:41:20,organic,PH
C000075,2024-02-16 00:06:11,email,SG
C000076,2024-08-08 11:28:37,organic,SG
C000077,2025-06-25 12:24:15,affiliate,VN
C000078,2023-03-26 16:31:01,paid_search,VN
C000079,2025-06-14 13:03:15,paid_search,MY
C000080,2023-05-22 18:43:20,organic,MY
C000081,2023-08-01 03:08:09,organic,VN
C000082,2023-07-17 16:27:07,organic,MY
C000083,2025-02-05 06:10:30,organic,TH
C000084,2023-04-30 00:33:55,paid_search,PH
C000085,2024-01-09 03:15:00,paid_search,SG
C000086,2024-07-04 05:36:19,paid_search,SG
C000087,2023-10-27 00:37:47,organic,PH
C000088,2024-08-27 16:50:58,organic,MY
C000089,2024-10-22 13:42:12,organic,SG
C000090,2024-10-14 14:18:47,organic,ID
C000091,2024-02-04 14:49:19,paid_search,ID
C000092,2024-01-07 01:22:47,organic,SG
C000093,2024-11-26 18:24:40,paid_search,TH
C000094,2024-11-21 22:48:12,affiliate,SG
C000095,2023-03-02 07:35:13,organic,SG
C000096,2024-03-24 14:36:06,organic,SG
C000097,2023-05-18 20:19:29,social,ID
C000098,2024-09-06 20:10:28,paid_search,VN
C000099,2024-10-14 18:16:33,organic,ID
C000100,2024-10-19 15:53:46,email,VN
C000101,2024-03-12 01:36:26,email,SG
C000102,2023-07-30 20:12:10,affiliate,MY
C000103,2024-04-06 10:19:50,affiliate,MY
C000104,2024-10-08 13:17:20,social,TH
C000105,2023-02-17 23:29:52,email,ID
C000106,2024-02-01 19:36:06,paid_search,TH
C000107,2024-07-11 08:58:43,referral,MY
C000108,2025-06-22 06:50:09,social,PH
C000109,2024-02-10 23:53:06,paid_search,TH
C000110,2023-12-20 01:01:56,organic,VN
C000111,2023-03-18 03:56:16,social,SG
C000112,2024-12-05 08:52:48,social,SG
C000113,2025-02-04 11:16:53,referral,ID
C000114,2023-01-13 15:16:36,organic,MY
C000115,2024-02-21 13:30:40,referral,TH
C000116,2025-06-06 19:35:05,organic,SG
C000117,2025-03-27 21:27:54,social,ID
C000118,2024-04-29 03:29:23,paid_search,SG
C000119,2023-12-23 06:01:24,paid_search,ID
C000120,2024-11-23 16:02:33,paid_search,SG
C000121,2024-08-05 21:14:35,organic,VN
C000122,2023-09-07 09:03:02,organic,SG
C000123,2023-02-11 03:03:39,referral,ID
C000124,2024-04-15 01:05:42,organic,SG
C000125,2024-06-22 03:09:43,email,SG
C000126,2024-08-09 23:32:01,email,MY
C000127,2025-02-28 10:20:50,organic,SG
C000128,2025-05-14 12:05:07,referral,ID
C000129,2023-06-11 09:36:04,email,SG
C000130,2025-05-28 13:46:32,email,TH
C000131,2023-06-23 05:16:47,referral,VN
C000132,2024-11-20 11:08:59,social,TH
C000133,2023-10-14 15:01:56,affiliate,SG
C000134,2023-02-25 13:38:22,organic,MY
C000135,2023-08-27 01:39:55,organic,SG
C000136,2023-09-13 10:17:50,email,MY
C000137,2024-11-04 18:09:05,paid_search,VN
C000138,2024-01-09 15:33:50,social,SG
C000139,2023-12-01 03:38:40,paid_search,SG
C000140,2024-06-13 05:33:40,paid_search,VN
C000141,2025-05-27 18:46:15,referral,MY
C000142,2023-04-01 19:26:42,organic,SG
C000143,2025-01-04 19:10:23,organic,PH
C000144,2023-03-14 22:45:51,social,SG
C000145,2025-06-14 00:32:44,email,TH
C000146,2023-09-04 16:31:04,referral,SG
C000147,2023-12-08 07:49:43,organic,PH
C000148,2024-12-05 09:28:24,referral,TH
C000149,2023-06-30 11:53:29,social,SG
C000150,2025-03-22 18:07:31,referral,PH
C000151,2024-11-19 04:18:46,organic,SG
C000152,2023-02-27 23:20:24,paid_search,VN
C000153,2023-09-01 10:39:53,social,ID
C000154,2025-03-22 00:44:48,social,SG
C000155,2025-02-21 07:52:19,organic,ID
C000156,2024-11-11 15:17:14,social,SG
C000157,2025-04-28 11:52:12,social,ID
C000158,2025-01-17 15:06:21,paid_search,ID
C000159,2024-02-02 09:57:37,social,MY
C000160,2025-06-24 06:46:54,paid_search,VN
C000161,2024-10-15 07:08:35,referral,PH
C000162,2024-09-21 06:41:20,social,ID
C000163,2023-02-08 05:13:48,social,ID
C000164,2023-02-05 05:44:11,affiliate,SG
C000165,2023-06-01 01:47:12,social,PH
C000166,2024-08-27 06:53:19,organic,VN
C000167,2024-03-13 10:06:18,social,PH
C000168,2024-04-03 03:00:53,affiliate,TH
C000169,2023-05-18 20:14:47,organic,MY
C000170,2023-08-29 15:47:14,social,SG
C000171,2023-04-07 01:58:45,organic,ID
C000172,2024-02-21 00:40:12,referral,SG
C000173,2023-03-26 17:18:18,social,ID
C000174,2023-08-31 18:25:25,affiliate,MY
C000175,2023-09-05 01:16:36,social,TH
C000176,2023-11-13 12:39:55,organic,ID
C000177,2024-09-01 21:38:31,social,SG
C000178,2023-12-31 07:02:20,affiliate,TH
C000179,2024-08-14 01:47:01,organic,MY
C000180,2023-11-24 07:35:01,organic,SG
C000181,2024-11-13 16:30:42,email,MY
C000182,2023-07-12 18:03:00,social,SG
C000183,2024-02-02 18:28:31,organic,MY
C000184,2023-09-30 19:51:58,organic,SG
C000185,2024-12-13 09:18:50,paid_search,SG
C000186,2023-07-19 09:39:43,social,MY
C000187,2023-07-09 15:44:13,paid_search,MY
C000188,2025-02-19 23:05:28,paid_search,VN
C000189,2024-08-19 23:38:55,referral,SG
C000190,2023-10-30 02:14:51,organic,MY
C000191,2023-05-06 19:26:26,social,SG
C000192,2023-09-06 16:19:37,paid_search,SG
C000193,2024-05-02 11:21:32,paid_search,MY
C000194,2024-10-04 00:43:31,social,MY
C000195,2023-04-04 00:41:00,email,TH
C000196,2023-05-05 21:07:48,affiliate,TH
C000197,2023-04-15 20:36:15,organic,VN
C000198,2024-09-29 18:13:46,organic,VN
C000199,2024-06-03 05:14:20,paid_search,SG
C000200,2024-11-23 13:13:35,social,SG
C000201,2023-02-22 21:53:19,organic,MY
C000202,2023-05-12 14:42:32,referral,ID
C000203,2025-01-26 01:25:45,email,ID
C000204,2024-11-20 16:22:18,paid_search,MY
C000205,2024-02-20 03:43:04,paid_search,PH
C000206,2024-06-22 01:08:49,organic,ID
C000207,2024-05-13 02:04:42,social,PH
