order_id,product_id,qty,unit_price,discount
O008699,P00874,1,36.33,0.0
O008699,P02519,1,44.18,0.0
O038260,P01975,2,20.13,0.0
O038260,P02599,1,20.41,0.1
O041295,P03708,1,27.22,0.1
O041295,P00245,2,56.98,0.0
O043876,P04497,1,28.6,0.1
O043876,P01032,1,5.14,0.05
O043876,P04355,2,24.1,0.0
O036530,P02114,1,32.57,0.1
O033716,P00809,1,41.91,0.05
O033716,P00754,1,47.94,0.05
O033716,P02354,1,11.46,0.1
O033716,P00754,3,47.94,0.0
O033716,P01692,2,5.17,0.0
O041249,P02700,2,7.9,0.2
O030608,P02337,2,230.52,0.0
O023431,P01113,2,16.06,0.0
O023431,P00310,1,37.49,0.0
O007422,P01792,2,10.59,0.0
O007422,P02337,2,230.52,0.1
O029844,P02894,1,15.88,0.0
O029844,P04347,3,43.69,0.2
O029844,P01966,1,27.0,0.05
O029844,P02894,1,15.88,0.0
O033291,P04647,1,20.58,0.0
O028769,P00449,3,4.31,0.0
O028769,P02123,2,89.18,0.05
O028769,P02015,1,20.76,0.0
O028769,P01857,2,13.81,0.0
O028769,P02015,2,20.76,0.2
O040495,P04962,1,119.37,0.2
O040495,P04289,2,28.29,0.0
O024712,P00133,1,15.3,0.1
O044325,P04839,1,40.03,0.0
O012660,P92310,2,8.72,0.2
O012660,P04409,2,15.9,0.1
O012660,P02691,1,32.54,0.1
O012660,P00632,2,8.72,0.2
O012660,P03080,1,59.84,0.1
O042650,P01347,3,107.55,0.1
O042650,P02908,2,54.75,0.0
O035254,P04987,1,21.4,0.1
O048543,P00764,2,72.02,0.0
O048543,P04010,1,34.56,0.1
O041753,P00224,1,15.11,0.1
O031653,P03875,2,34.53,0.0
O031653,P01757,1,29.26,0.05
O031653,P04053,1,19.53,0.2
O037926,P01095,1,372.93,0.2
O037926,P00628,1,7.25,0.1
O008762,P02137,3,27.77,0.05
O008762,P04210,1,10.15,0.0
O008762,P91343,3,119.17,0.1
O008762,P04463,1,38.59,0.2
O022568,P04711,3,12.68,0.0
O022568,P91390,1,217.89,0.05
O014854,P03829,3,143.76,0.0
O014854,P03115,2,25.21,0.0
O014854,P03829,2,143.76,0.05
O045946,P01150,1,53.95,0.0
O004220,P03042,1,36.09,0.1
O027604,P02652,3,15.61,0.2
O027604,P02652,2,15.61,0.2
O027604,P03980,1,15.3,0.2
O027604,P02652,1,15.61,0.0
O034521,P01035,3,17.59,0.0
O033426,P01457,1,26.86,0.1
O004230,P02738,1,103.07,0.2
O004230,P00551,1,10.56,0.0
O022531,P01394,1,286.62,0.05
O022531,P02712,1,8.94,0.2
O022531,P01072,3,19.39,0.0
O022531,P02712,1,8.94,0.0
O022531,P00553,3,37.11,0.0
O022531,P02548,2,23.36,0.05
O019256,P01515,1,23.5,0.1
O047507,P04270,1,9.24,0.05
O034317,P01283,2,9.9,0.05
O034317,P00836,1,30.58,0.05
O026643,P02428,2,49.37,0.0
O033503,P02505,2,7.37,0.0
O033503,P02316,3,27.64,0.05
O031228,P04315,2,20.57,0.1
O033809,P01939,1,28.76,0.1
O033809,P03490,3,10.05,0.05
O033809,P03625,1,77.11,0.2
O042730,P00575,1,23.46,0.05
O042730,P03106,1,89.6,0.2
O018658,P00227,2,46.24,0.2
O018658,P04960,1,21.92,0.1
O026976,P00915,1,32.29,0.05
O026976,P03317,2,44.03,0.05
O026976,P00875,2,20.13,0.1
O020101,P01841,3,33.86,0.05
O020101,P02868,1,18.15,0.2
O020101,P03087,1,73.65,0.0
O020101,P00928,2,34.41,0.0
O009988,P02810,3,18.7,0.0
O009988,P00483,1,41.98,0.0
O034703,P04939,2,46.33,0.0
O034703,P02841,1,33.73,0.0
O037296,P02537,2,40.84,0.05
O035872,P04623,2,35.02,0.1
O035872,P01032,1,5.14,0.1
O035872,P03222,2,105.61,0.0
O035872,P00685,2,6.38,0.0
O038784,P02273,2,41.72,0.05
O049018,P04476,2,15.49,0.0
O028508,P03414,1,48.1,0.05
O035980,P04946,1,13.22,0.05
O035980,P03395,3,14.42,0.05
O035980,P03306,2,18.89,0.0
O030543,P03985,1,25.43,0.0
O048505,P01270,2,32.82,0.0
O049123,P02281,3,10.48,0.0
O026094,P01904,1,31.1,0.2
O026094,P00749,3,113.38,0.0
O022224,P03265,3,12.28,0.05
O007794,P90782,2,9.83,0.0
O000782,P02517,1,67.97,0.0
O030791,P02371,2,32.73,0.0
O021455,P02959,3,17.41,0.0
O042759,P01779,1,36.08,0.05
O000768,P00723,2,4.17,0.2
O000768,P00171,1,42.14,0.0
O000768,P03368,2,49.78,0.2
O000284,P01321,2,25.01,0.0
O002423,P00777,2,54.91,0.0
O002423,P00777,3,54.91,0.0
O016101,P01220,1,26.87,0.0
O042976,P00081,3,39.03,0.0
O042976,P02637,2,72.6,0.1
O042976,P03598,3,202.59,0.2
O019797,P03765,1,8.23,0.0
O019797,P01460,3,13.68,0.0
O019797,P00040,1,15.78,0.1
O019797,P01432,2,11.24,0.2
O037564,P01163,3,42.52,0.0
O037564,P04756,1,9.38,0.0
O037564,P01637,3,41.92,0.05
O019694,P03147,3,165.39,0.05
O034721,P04879,2,81.75,0.0
O034721,P03409,1,7.37,0.0
O034721,P01381,1,29.1,0.2
O033107,P02059,2,55.56,0.0
O033107,P03833,1,14.63,0.0
O033107,P03833,3,14.63,0.1
O033107,P02059,3,55.56,0.0
O033107,P02813,2,40.02,0.05
O031558,P03206,3,10.87,0.1
O031558,P02392,1,22.28,0.0
O031558,P03608,2,56.17,0.0
O023694,P03182,1,16.59,0.05
O023694,P04328,3,27.68,0.1
O023694,P02947,1,4.65,0.2
O036099,P04030,3,26.89,0.0
O036099,P04030,1,26.89,0.1
O036099,P03829,1,143.76,0.05
O036099,P03115,1,25.21,0.1
O036099,P03115,1,25.21,0.2
O036099,P02935,1,59.71,0.05
O002279,P02810,2,18.7,0.05
O013126,P04907,3,20.31,0.2
O047789,P03911,1,234.38,0.0
O047789,P01542,1,10.07,0.0
O047789,P03911,1,234.38,0.2
O000447,P02325,1,9.93,0.1
O000447,P02130,2,24.43,0.0
O043832,P00931,1,14.82,0.0
O036369,P00298,3,18.52,0.0
O018584,P04506,1,18.85,0.0
O008112,P03832,2,257.24,0.05
O001455,P01354,1,15.97,0.0
O028705,P02741,1,73.64,0.0
O028705,P00053,2,3.67,0.05
O014137,P02243,3,92.68,0.0
O014137,P03544,1,120.49,0.0
O014137,P04032,1,110.71,0.0
O008814,P00848,2,21.24,0.0
O008814,P00117,2,48.8,0.0
O008814,P04616,1,24.78,0.05
O024606,P04201,1,6.67,0.0
O024606,P04132,3,28.02,0.1
O024606,P02598,2,27.98,0.2
O024606,P00005,3,6.64,0.0
O040085,P02787,2,46.25,0.1
O014840,P00144,1,32.23,0.2
O014840,P00144,2,32.23,0.0
O014840,P01519,1,22.86,0.05
O014840,P04619,3,12.46,0.05
O009006,P00930,3,13.24,0.05
O014489,P00520,2,304.82,0.0
O007827,P04614,1,31.39,0.0
O016889,P04547,1,15.08,0.0
O027097,P04327,2,45.44,0.1
O048645,P04415,1,30.44,0.0
O003870,P04436,2,12.06,0.05
O003870,P02528,1,67.05,0.0
O003870,P02501,2,29.25,0.1
O003870,P01928,2,25.58,0.2
O021705,P02755,1,6.95,0.0
O021705,P02755,2,6.95,0.05
O047651,P01442,1,79.35,0.1
O049497,P00537,3,48.59,0.0
O049497,P03502,1,66.63,0.0
O049497,P03502,3,66.63,0.0
O049497,P02261,1,50.21,0.1
O026390,P00245,2,56.98,0.2
O026390,P01038,3,16.12,0.0
O027458,P00428,1,52.87,0.0
O027458,P04938,1,8.67,0.0
O027458,P02302,3,36.95,0.1
O027458,P02302,3,36.95,0.0
O009030,P01578,1,24.22,0.05
O009030,P02605,2,15.11,0.0
O008871,P00858,2,26.31,0.1
O012048,P01206,2,23.39,0.2
O012048,P02349,2,42.91,0.05
O012048,P02760,1,2.64,0.1
O012048,P04324,3,48.52,0.2
O012048,P02344,1,21.94,0.0
O012048,P03494,1,4.39,0.0
O007135,P03417,1,19.75,0.0
O001925,P00789,2,115.65,0.05
O001925,P00789,2,115.65,0.2
O001925,P02999,1,48.56,0.0
O008861,P02157,1,13.46,0.2
O008861,P03583,3,12.39,0.0
O008861,P01701,3,67.38,0.0
O008861,P02157,1,13.46,0.0
O035708,P91564,1,28.39,0.0
O035708,P00026,2,69.02,0.1
O025647,P01494,2,31.77,0.1
O025647,P01067,2,5.95,0.1
O026194,P02858,2,33.98,0.0
O002770,P03327,2,9.23,0.1
O017643,P04828,1,29.77,0.1
O003809,P00248,1,65.76,0.0
O003809,P02037,2,55.31,0.0
O022809,P00981,2,19.46,0.2
O022809,P02785,1,35.51,0.0
O013802,P03808,3,26.33,0.05
O013802,P02454,3,30.22,0.1
O016802,P00363,3,29.46,0.1
O014186,P00381,1,50.68,0.0
O027930,P04845,3,84.86,0.0
O027930,P04965,1,29.37,0.2
O001446,P03213,3,65.6,0.2
O018964,P04919,1,59.26,0.0
O027495,P01266,1,119.53,0.05
O017738,P01350,1,62.81,0.0
O012173,P01188,1,48.03,0.0
O012173,P01909,2,7.17,0.1
O012173,P04770,2,14.49,0.1
O030342,P02241,2,38.0,0.0
O030342,P00505,3,30.64,0.0
O024633,P03832,1,257.24,0.1
O024633,P01552,2,11.42,0.0
O034795,P00160,1,22.96,0.0
O034795,P02122,2,8.43,0.05
O034795,P01537,1,321.09,0.0
O034795,P04437,1,55.22,0.1
O021216,P01918,1,15.86,0.05
O021216,P04019,1,2.98,0.0
O021216,P00132,1,14.02,0.05
O021216,P01389,1,13.47,0.0
O031231,P04710,2,65.44,0.0
O031231,P01690,1,72.03,0.05
O031231,P03896,1,42.38,0.0
O015465,P02269,1,15.03,0.1
O015465,P04603,3,20.67,0.2
O015465,P00699,1,44.67,0.2
O030184,P01433,2,26.14,0.1
O030184,P04675,3,153.68,0.0
O030184,P01283,1,9.9,0.1
O030184,P00836,2,30.58,0.2
O030184,P01433,1,26.14,0.05
O012319,P00032,1,13.7,0.0
O012319,P01378,2,23.37,0.0
O012319,P02965,2,19.94,0.1
O004286,P04678,3,64.97,0.0
O017541,P02205,1,192.23,0.1
O017541,P02462,1,97.45,0.0
O010417,P04006,1,18.09,0.05
O010417,P03785,1,20.95,0.0
O027744,P00487,1,44.76,0.0
O027744,P00487,3,44.76,0.05
O027744,P02679,1,27.71,0.2
O009496,P04240,1,27.33,0.05
O001103,P04486,3,14.77,0.0
O001103,P00574,1,52.21,0.1
O006527,P02757,1,94.5,0.1
O010931,P00595,2,18.72,0.05
O021002,P01250,1,13.32,0.0
O021002,P00325,1,40.92,0.0
O030346,P01954,1,5.12,0.0
O030346,P00753,1,19.52,0.05
O030346,P00753,1,19.52,0.0
O030346,P03975,1,51.92,0.05
O029709,P92668,1,65.91,0.05
O029709,P00871,3,5.01,0.0
O032395,P03380,2,46.89,0.1
O032395,P00352,2,33.3,0.05
O032395,P02751,3,24.61,0.2
O023345,P04237,3,21.35,0.0
O023345,P04237,2,21.35,0.2
O023345,P00224,1,15.11,0.0
O020876,P02896,1,148.21,0.0
O022980,P00753,2,19.52,0.0
O039180,P01455,1,9.15,0.2
O029430,P04183,2,14.52,0.0
O009405,P01503,1,9.47,0.0
O009405,P04927,1,20.92,0.1
O009405,P02446,1,14.88,0.0
O021984,P02235,1,55.11,0.0
O004872,P01845,2,73.55,0.2
O049840,P01416,2,96.31,0.1
O049840,P01416,3,96.31,0.1
O006064,P02309,1,28.5,0.0
O042372,P01977,2,15.95,0.05
O042372,P00117,3,48.8,0.1
O042372,P00848,1,21.24,0.0
O042372,P00848,1,21.24,0.0
O034353,P91497,1,11.5,0.0
O034353,P01503,1,9.47,0.2
O014383,P00349,1,22.98,0.05
O028452,P01915,2,37.41,0.0
O000303,P01400,3,128.45,0.2
O000303,P00642,3,35.72,0.1
O038276,P00732,1,12.38,0.2
O038276,P03830,1,55.2,0.0
O038276,P02958,1,4.28,0.0
O038276,P01269,2,10.25,0.1
O038276,P00598,1,23.16,0.2
O042958,P01130,1,9.73,0.2
O042958,P02567,2,25.16,0.2
O042958,P02567,3,25.16,0.0
O022915,P04035,1,9.61,0.05
O022915,P03147,1,165.39,0.0
O022915,P03246,1,46.53,0.0
O022915,P00507,1,46.12,0.0
O022915,P03246,1,46.53,0.0
O047286,P00245,1,56.98,0.0
O017301,P04265,1,21.13,0.1
O017394,P01423,1,12.32,0.05
O017394,P03980,1,15.3,0.05
O002795,P03949,1,15.81,0.0
O007401,P01779,1,36.08,0.0
O007401,P02385,1,37.43,0.0
O032370,P04313,1,32.87,0.0
O032370,P02413,2,69.11,0.0
O032370,P02413,2,69.11,0.0
O032370,P03723,2,48.59,0.0
O007582,P01148,2,8.82,0.0
O007582,P04915,1,95.48,0.05
O021539,P04429,3,23.12,0.1
O021539,P03993,2,17.56,0.05
O049228,P00572,1,5.51,0.0
O029740,P02740,1,136.57,0.0
O029740,P00750,3,13.44,0.0
O020087,P02626,1,60.84,0.0
O047217,P04119,2,25.72,0.0
O047217,P04119,3,25.72,0.1
O022648,P03082,1,5.02,0.2
O020179,P02134,1,16.67,0.05
O031929,P02471,2,177.86,0.0
O028552,P91231,1,64.6,0.1
O005679,P00972,1,31.66,0.0
O004974,P01508,1,184.5,0.0
O004974,P00679,3,19.93,0.0
O004974,P00987,1,32.15,0.0
O032639,P02343,2,8.24,0.05
O032639,P00893,1,58.98,0.0
O032639,P00900,3,48.05,0.1
O022617,P00961,1,34.67,0.0
O022617,P00930,1,13.24,0.2
O022617,P00961,1,34.67,0.0
O007003,P01643,1,18.19,0.05
O007003,P02850,2,26.35,0.0
O048128,P02879,1,117.69,0.0
O048128,P04197,2,21.45,0.2
O048128,P04550,3,22.58,0.1
O009571,P04915,2,95.48,0.0
O023798,P01598,3,92.09,0.1
O023495,P03661,2,28.39,0.0
O026084,P04792,1,41.64,0.1
O045854,P04694,3,41.48,0.1
O037508,P04928,1,12.65,0.0
O002100,P00493,2,36.61,0.0
O002100,P03844,2,22.71,0.2
O029426,P00845,2,3.34,0.0
O045646,P03503,3,20.24,0.0
O045646,P01367,1,98.62,0.0
O045646,P02368,3,56.9,0.0
O045646,P03673,2,8.3,0.0
O032164,P00115,3,5.67,0.05
O032164,P00584,2,22.44,0.0
O044980,P01068,1,11.26,0.0
O044980,P03387,2,9.27,0.0
O044980,P04992,1,9.12,0.2
O023695,P04451,1,7.73,0.0
O023695,P04122,2,78.11,0.0
O023695,P02445,3,39.28,0.0
O023695,P02430,3,14.98,0.0
O023695,P02445,3,39.28,0.05
O021731,P03838,1,43.08,0.0
O021731,P04280,1,30.19,0.0
O021731,P03478,1,7.44,0.0
O044183,P03631,1,24.79,0.2
O044676,P01404,2,13.09,0.0
O043786,P04286,1,58.74,0.05
O004434,P02658,1,23.43,0.0
O004434,P01935,1,3.65,0.0
O004434,P00331,2,19.54,0.05
O048584,P04496,3,7.57,0.0
O034409,P03189,1,18.48,0.0
O048861,P02101,2,106.17,0.0
O009520,P04259,3,1.62,0.2
O009520,P01613,1,9.81,0.0
O018733,P00219,3,17.53,0.05
O022911,P01167,1,77.7,0.0
O022911,P01167,2,77.7,0.0
O022911,P01508,2,184.5,0.05
O022911,P01411,1,8.34,0.05
O022911,P01167,1,77.7,0.1
O028802,P01893,1,20.49,0.0
O028802,P00815,1,20.98,0.0
O028802,P01406,2,5.03,0.05
O006977,P00505,1,30.64,0.2
O006977,P03425,2,5.5,0.0
O006977,P02241,1,38.0,0.0
O024590,P03485,1,94.62,0.2
O030625,P03723,3,48.59,0.0
O047504,P03706,2,6.95,0.0
O026675,P01287,1,21.06,0.0
O026675,P02134,1,16.67,0.0
O026675,P02134,2,16.67,0.2
O026675,P02673,3,110.67,0.2
O026675,P00972,2,31.66,0.0
O006831,P00088,1,20.97,0.2
O006831,P01947,2,22.58,0.2
O006831,P00964,3,12.75,0.2
O017834,P04097,1,8.89,0.0
O018196,P01156,2,141.22,0.1
O018196,P03425,1,5.5,0.0
O018196,P03009,2,124.89,0.05
O016388,P01423,1,12.32,0.0
O038042,P02473,1,17.16,0.0
O036709,P01843,2,54.7,0.0
O041054,P02521,2,53.6,0.1
O005813,P02656,1,67.96,0.0
O037942,P04958,3,35.74,0.2
O008740,P01348,1,32.47,0.0
O008740,P01348,2,32.47,0.2
O008740,P01348,1,32.47,0.05
O014042,P03197,1,43.68,0.0
O014042,P02740,1,136.57,0.0
O014042,P02540,2,17.95,0.0
O014042,P01774,2,25.66,0.0
O014042,P03197,3,43.68,0.05
O035950,P04692,2,13.4,0.0
O035950,P01950,1,156.61,0.05
O035950,P02130,1,24.43,0.2
O017947,P02258,2,24.9,0.2
O017947,P02927,1,11.93,0.2
O028493,P03456,3,41.34,0.2
O028493,P00226,1,5.91,0.0
O028493,P03381,2,7.32,0.0
O028493,P03649,3,21.7,0.0
O016961,P02008,1,15.07,0.0
O022587,P04605,1,16.63,0.05
O035648,P01510,2,17.3,0.0
O035648,P03234,1,17.5,0.1
O012221,P01730,1,67.41,0.1
O012221,P00348,1,34.02,0.0
O033372,P03954,1,42.83,0.0
O033372,P03391,1,41.45,0.0
O033372,P03391,1,41.45,0.1
O033372,P04790,3,11.42,0.0
O033372,P04506,1,18.85,0.0
O033372,P00761,2,14.02,0.0
O036305,P00677,3,44.53,0.0
O020025,P03549,2,19.34,0.2
O004874,P03143,1,9.94,0.1
O004874,P02591,2,16.92,0.05
O010021,P01557,3,74.04,0.0
O028792,P04933,2,5.11,0.0
O028792,P04933,2,5.11,0.0
O043864,P02460,1,10.03,0.0
O049546,P00338,3,7.92,0.0
O049546,P03955,3,26.22,0.05
O049546,P00064,2,17.02,0.0
O014564,P01351,1,34.0,0.0
O014564,P02931,1,161.48,0.0
O034562,P04241,2,36.62,0.05
O024931,P03383,1,23.28,0.1
O024931,P03896,1,42.38,0.2
O024931,P02556,3,19.1,0.0
O024931,P02808,3,89.65,0.0
O027489,P04858,1,73.83,0.0
O019639,P03168,1,34.7,0.0
O019639,P02761,3,40.91,0.1
O049211,P02413,1,69.11,0.05
O049211,P03802,1,78.4,0.2
O018482,P00185,2,23.66,0.1
O018482,P00070,1,14.52,0.0
O045728,P01200,2,9.94,0.05
O048594,P02933,1,17.83,0.2
O048594,P00555,2,4.49,0.05
O043884,P00710,1,35.05,0.1
O047901,P01354,2,15.97,0.0
O041215,P03422,2,12.09,0.0
O041215,P03518,1,12.18,0.0
O041215,P04066,1,121.28,0.1
O041327,P04714,1,41.84,0.05
O027927,P04644,2,53.86,0.2
O027927,P01922,1,102.18,0.1
O011481,P04223,1,75.39,0.05
O011481,P01156,1,141.22,0.0
O011481,P90418,2,141.22,0.0
O020341,P01503,2,9.47,0.0
O020341,P03331,1,26.0,0.0
O020341,P03331,1,26.0,0.0
O032851,P04097,3,8.89,0.0
O025070,P01679,3,28.92,0.0
O025070,P01558,1,11.41,0.05
O001067,P01718,1,19.34,0.0
O013817,P02726,1,3.17,0.0
O013817,P00742,1,10.02,0.05
O020327,P02049,3,41.73,0.0
O032745,P04329,1,44.84,0.0
O008100,P00624,2,53.5,0.0
O008100,P01094,2,10.46,0.1
O023802,P00926,2,17.18,0.0
O023802,P03012,1,21.03,0.0
O023802,P03531,3,38.09,0.1
O040819,P01423,1,12.32,0.0
O040819,P02652,2,15.61,0.1
O040819,P02652,3,15.61,0.0
O040819,P01248,1,122.37,0.05
O040819,P01423,1,12.32,0.0
O045715,P02166,1,103.96,0.0
O006726,P03588,1,25.66,0.2
O022600,P02262,1,136.72,0.0
O022600,P03820,1,16.73,0.0
O038084,P00194,1,27.74,0.1
O020000,P01063,1,13.3,0.05
O035925,P00722,3,79.61,0.0
O040826,P01573,2,52.54,0.0
O040826,P00141,1,7.74,0.0
O040826,P00966,3,60.51,0.05
O006891,P04519,1,36.44,0.0
O006891,P02540,3,17.95,0.2
O011558,P03797,1,73.2,0.0
O011558,P01710,1,17.34,0.0
O011558,P02105,2,40.57,0.1
O011558,P03797,3,73.2,0.1
O011558,P03797,3,73.2,0.0
O008063,P90726,1,22.51,0.0
O044803,P02572,2,189.69,0.05
O044803,P00282,2,20.84,0.0
O030195,P04351,2,20.63,0.1
O043997,P00607,2,168.87,0.05
O043997,P00880,3,17.88,0.0
O043997,P01669,2,11.59,0.0
O013231,P01150,2,53.95,0.0
O025723,P01248,1,122.37,0.2
O025723,P01248,1,122.37,0.0
