product_id,merchant_id,category,price
P00001,M0121,Beauty,14.4
P00002,M0296,Sports & Outdoor,10.77
P00003,M0331,Sports & Outdoor,23.19
P00004,M0127,Home & Living,42.69
P00005,M0050,Grocery,6.64
P00006,M0357,Electronics,16.38
P00007,M0060,Toys & Kids,95.48
P00008,M0238,Beauty,9.32
P00009,M0095,Pet Supplies,53.67
P00010,M0051,Grocery,15.86
P00011,M0311,Toys & Kids,40.09
P00012,M0058,Electronics,65.86
P00013,M0269,Sports & Outdoor,47.81
P00014,M0278,Grocery,55.6
P00015,M0025,Grocery,8.7
P00016,M0070,Beauty,66.84
P00017,M0318,Toys & Kids,11.39
P00018,M0203,Beauty,30.99
P00019,M0049,Toys & Kids,30.95
P00020,M0397,Home & Living,37.96
P00021,M0106,Grocery,33.22
P00022,M0002,Grocery,11.48
P00023,M0370,Grocery,7.28
P00024,M0007,Grocery,2151.6
P00025,M0222,Beauty,29.0
P00026,M0398,Electronics,69.02
P00027,M0232,Grocery,23.56
P00028,M0234,Grocery,6.93
P00029,M0156,Toys & Kids,58.53
P00030,M0051,Grocery,17.58
P00031,M0230,Electronics,33.37
P00032,M0359,Home & Living,13.7
P00033,M0037,Grocery,107.76
P00034,M0353,Apparel,11.15
P00035,M0167,Apparel,18.11
P00036,M0215,Toys & Kids,27.02
P00037,M0067,Pet Supplies,9.18
P00038,M0249,Grocery,33.03
P00039,M0073,Beauty,104.66
P00040,M0110,Toys & Kids,15.78
P00041,M0289,Sports & Outdoor,35.01
P00042,M0021,Sports & Outdoor,2.07
P00043,M0179,Pet Supplies,23.69
P00044,M0238,Beauty,18.51
P00045,M0053,Apparel,11.74
P00046,M0118,Electronics,64.93
P00047,M0138,Home & Living,18.29
P00048,M0266,Sports & Outdoor,20.91
P00049,M0391,Toys & Kids,17.47
P00050,M0335,Beauty,4.37
P00051,M0076,Beauty,8.86
P00052,M0008,Toys & Kids,58.26
P00053,M0021,Sports & Outdoor,3.67
P00054,M0239,Apparel,12.31
P00055,M0063,Apparel,17.12
P00056,M0093,Grocery,117.83
P00057,M0339,Electronics,49.0
P00058,M0350,Electronics,14.86
P00059,M0336,Grocery,79.37
P00060,M0102,Electronics,12.6
P00061,M0248,Beauty,60.84
P00062,M0245,Toys & Kids,7.22
P00063,M0075,Toys & Kids,64.45
P00064,M0222,Beauty,17.02
P00065,M0211,Apparel,9.72
P00066,M0159,Sports & Outdoor,20.18
P00067,M0301,Apparel,31.49
P00068,M0272,Home & Living,15.72
P00069,M0214,Beauty,40.39
P00070,M0291,Grocery,14.52
P00071,M0306,Electronics,42.88
P00072,M0227,Grocery,36.53
P00073,M0108,Toys & Kids,23.22
P00074,M0304,Pet Supplies,16.49
P00075,M0288,Sports & Outdoor,28.12
P00076,M0394,Sports & Outdoor,40.25
P00077,M0060,Toys & Kids,156.9
P00078,M0168,Electronics,57.14
P00079,M0370,Grocery,59.05
P00080,M0206,Apparel,395.31
P00081,M0378,Toys & Kids,39.03
P00082,M0005,Beauty,37.95
P00083,M0015,Toys & Kids,46.23
P00084,M0319,Pet Supplies,9.89
P00085,M0144,Beauty,16.45
P00086,M0209,Apparel,15.56
P00087,M0172,Home & Living,43.94
P00088,M0164,Beauty,20.97
P00089,M0376,Home & Living,27.78
P00090,M0038,Grocery,65.28
P00091,M0309,Apparel,53.35
P00092,M0356,Pet Supplies,21.21
P00093,M0263,Apparel,13.42
P00094,M0159,Sports & Outdoor,68.15
P00095,M0065,Beauty,49.23
P00096,M0274,Pet Supplies,5.78
P00097,M0188,Beauty,18.51
P00098,M0060,Toys & Kids,28.47
P00099,M0144,Beauty,49.45
P00100,M0385,Home & Living,55.65
P00101,M0107,Grocery,31.67
P00102,M0072,Electronics,41.54
P00103,M0273,Electronics,25.99
P00104,M0080,Toys & Kids,13.38
P00105,M0368,Apparel,19.39
P00106,M0344,Sports & Outdoor,24.96
P00107,M0394,Sports & Outdoor,23.78
P00108,M0366,Sports & Outdoor,4.5
P00109,M0098,Toys & Kids,17.15
P00110,M0085,Toys & Kids,25.81
P00111,M0138,Home & Living,19.04
P00112,M0188,Beauty,19.65
P00113,M0352,Home & Living,38.06
P00114,M0294,Apparel,9.29
P00115,M0258,Home & Living,5.67
P00116,M0352,Home & Living,17.93
P00117,M0259,Electronics,48.8
P00118,M0152,Apparel,112.03
P00119,M0166,Grocery,49.6
P00120,M0207,Grocery,6.54
P00121,M0036,Home & Living,19.9
P00122,M0297,Grocery,30.91
P00123,M0262,Electronics,28.78
P00124,M0293,Pet Supplies,39.86
P00125,M0214,Beauty,10.75
P00126,M0314,Apparel,26.01
P00127,M0380,Apparel,35.81
P00128,M0228,Sports & Outdoor,51.58
P00129,M0178,Electronics,11.88
P00130,M0042,Grocery,17.98
P00131,M0312,Toys & Kids,2.15
P00132,M0362,Pet Supplies,14.02
P00133,M0280,Home & Living,15.3
P00134,M0347,Pet Supplies,9.8
P00135,M0345,Pet Supplies,28.48
P00136,M0320,Grocery,23.33
P00137,M0202,Pet Supplies,3.21
P00138,M0040,Toys & Kids,29.78
P00139,M0002,Grocery,10.64
P00140,M0082,Beauty,37.98
P00141,M0173,Grocery,7.74
P00142,M0298,Beauty,25.2
P00143,M0183,Beauty,19.01
P00144,M0010,Home & Living,32.23
P00145,M0085,Toys & Kids,27.45
P00146,M0392,Electronics,19.5
P00147,M0396,Grocery,6.16
P00148,M0151,Grocery,6.49
P00149,M0322,Home & Living,14.51
P00150,M0288,Sports & Outdoor,24.35
P00151,M0373,Beauty,14.19
P00152,M0356,Pet Supplies,43.06
P00153,M0252,Beauty,19.08
P00154,M0158,Sports & Outdoor,10.29
P00155,M0251,Electronics,19.1
P00156,M0128,Grocery,30.06
P00157,M0140,Beauty,32.86
P00158,M0244,Toys & Kids,133.03
P00159,M0229,Sports & Outdoor,13.44
P00160,M0233,Home & Living,22.96
P00161,M0154,Apparel,36.0
P00162,M0164,Beauty,24.02
P00163,M0005,Beauty,15.63
P00164,M0241,Electronics,6.08
P00165,M0231,Beauty,15.49
P00166,M0375,Pet Supplies,9.33
P00167,M0202,Pet Supplies,5.19
P00168,M0188,Beauty,11.99
P00169,M0028,Grocery,9.56
P00170,M0079,Sports & Outdoor,41.49
P00171,M0136,Apparel,42.14
P00172,M0151,Grocery,10.88
P00173,M0146,Grocery,19.41
P00174,M0158,Sports & Outdoor,4.61
P00175,M0308,Sports & Outdoor,15.72
P00176,M0053,Apparel,35.13
P00177,M0133,Home & Living,51.54
P00178,M0066,Apparel,12.91
P00179,M0124,Beauty,63.22
P00180,M0274,Pet Supplies,6.27
P00181,M0019,Grocery,7.98
P00182,M0136,Apparel,46.46
P00183,M0010,Home & Living,110.39
P00184,M0382,Pet Supplies,38.25
P00185,M0291,Grocery,23.66
P00186,M0098,Toys & Kids,3.4
P00187,M0080,Toys & Kids,3.97
P00188,M0040,Toys & Kids,27.56
P00189,M0190,Apparel,17.77
P00190,M0302,Grocery,9.07
P00191,M0234,Grocery,26.02
P00192,M0353,Apparel,27.21
P00193,M0138,Home & Living,57.4
P00194,M0112,Grocery,27.74
P00195,M0192,Toys & Kids,74.11
P00196,M0081,Pet Supplies,24.71
P00197,M0391,Toys & Kids,22.11
P00198,M0075,Toys & Kids,63.94
P00199,M0192,Toys & Kids,10.17
P00200,M0209,Apparel,308.9
P00201,M0023,Electronics,34.39
P00202,M0188,Beauty,34.56
P00203,M0182,Electronics,39.35
P00204,M0104,Home & Living,132.88
P00205,M0052,Electronics,50.06
P00206,M0019,Grocery,5.79
P00207,M0004,Beauty,86.76
P00208,M0193,Sports & Outdoor,18.05
P00209,M0036,Home & Living,27.02
P00210,M0384,Electronics,7.76
P00211,M0098,Toys & Kids,39.39
P00212,M0262,Electronics,13.65
P00213,M0270,Sports & Outdoor,26.85
P00214,M0199,Apparel,19.0
